CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_000583;VIA GIOVANNI MATES;VIA DEL PLATANO - VIA CHIABRERA;850;27/03/1971;G.M.;PITTORE CATALANO, VISSE IN CAGLIARI ALLA META' DEL XV SECOLO.OPERE: SANT'ANTONIO, LA PIETA', SAN GIOVANNI, SANTA CATERINA D'ALESSANDRIA, SANTA MARGHERITA E IL CAPOLAVORO SAN GIORGIO CHE UCCIDE IL DRAGO, SI CONSERVANO NELLA PINACOTECA NAZIONALE DI CAGLIARI.;
092009_000584;VIA SAVERIO MATTEI;VIA CADELLO - VIA LIGURIA;1706;14/05/1975;G.M.;STORICO.;
092009_000585;PIAZZA GIACOMO MATTEOTTI;VIA SASSARI - VIA ROMA;495;02/06/1944;D.S.;POLITICO. (NATO A FRATTA POLESINE NEL 1885 - MORTO NEL 1924).;
092009_000586;VIA GIUSEPPE MAZZINI;PIAZZA MARTIRI D'ITALIA - VIA UNIVERSITA';0;16/11/1891;C.C.;GIA' VIA ARGENTARI. POLITICO E SCRITTORE. (NATO A GENOVA NEL 1805 - MORTO A GENOVA NEL 1872).;
092009_000587;VIA MEDAGLIE D'ORO;PIAZZA GIOV. XXIII - VIA NASTRO AZZURRFO;327;26/02/1955;G.M.;DEDICATA ALLE MEDAGLIE D'ORO DI TUTTE LE GUERRE.;
092009_000588;PIAZZA MEDAGLIA MIRACOLOSA;PIAZZA S. MICHELE - VIA EMILIA;2666;13/09/1971;G.M.;;
092009_000589;PIAZZA GIOVANNI MEDAS;VIA SALVO D'ACQUISTO - VIA CORONA;1706;14/05/1975;G.M.;PATRIOTA E MARTIRE DELLA RESISTENZA.;
092009_000590;PIAZZA DEI MEDICI;VIA CRESPELLANI - VIA DE MARTIS;1706;14/05/1975;G.M.;ILLUSTRE FAMIGLIA FIORENTINA.;
092009_000591;VIA MEILOGU;VIA MANDROLISAI - VIA CIOCIARIA;1149;21/02/1964;G.M.;TOPONIMO REGIONALE SARDO.;
092009_000592;VIA EFISIO MELIS;VIA F. CILLOCCO - VIA BIXIO;2365;21/09/1961;G.M.;DISTINTO E VALOROSO UFFICIALE D'ARTIGLIERIA, (NATO A CAGLIARI IL 1/5/1785 - MORTO A SANT' ANTIOCO IL 16/10/1815).;
092009_000593;VIA FELICE MELIS MARINI;VIA DEL PLATANO - VIA SALVATOR ROSA;850;27/03/1971;G.M.;PITTORE, E TEORICO DELL' INCISIONE.ALCUNE SUE OPERE DI PITTURA DECORANO IL PALAZZO CIVICO DI CAGLIARI.FAMOSO IN CAMPO NAZIONALE ED INTERNAZIONALE PER LE MOLTE INCISIONI ESPOSTE NELLE GALLERIE D'EUROPA. IL SUO TRATTATO SULL'INCISIONE, TRADOTTO IN VARIE LINGUE,E' CONSIDERATO TUTT'ORA FONDAMENTALE.( NATO A CAGLIARI NEL 1873 - MORTO A CAGLIARI NEL 1958 ).;
092009_000594;VIA CIRO MENOTTI;VIA MURAT - VIA POERIO;2365;21/09/1961;G.M.;PATRIOTA MARTIRE DELL'INDIPENDENZA ITALIANA. COMMERCIANTE E IMPRENDITORE.TRATTO' CON FRANCESCO IV DI MODENA PER UN'AZIONE A FAVORE DELL'INDIPENDENZA ITALIANA. ACCORTOSI DELL'AMBIGUITA' DEL DUCA TENTO' UN MOTO INSURREZIONALE, MA FRANCESCO IV LO FECE ARRESTARE, TRASCINANDOLO A MANTOVA E GIUSTIZIANDOLO. (NATO PRESSO CARPI NEL 1798 - MORTO NEL 1831).;
092009_000595;VIA DELLA MENTA;VIA TAMBURINO SARDO - VIA DELLA MALVA;850;27/03/1971;G.M.;GENERE DI PIANTE, TRA CUI MENTHA PIPERITA.ERBA PERENNE, DELLA FAMIGLIA DELLE LABIATE, A FOGLIE OVATE, AROMATICHE. COLTIVATA ANCHE PER RICAVARNE UN'ESSENZA USATA IN LIQUORERIA.;
092009_000596;VIA MENTANA;VIA RISORGIMENTO - VIA VESALIO;4799;16/11/1964;G.M.;COMUNE IN PROVINCIA DI ROMA. L'OSSARIO DI MENTANA VENNE DICHIARATO MONUMENTO NAZIONALE NEL 1899.;
092009_000597;VIA GIUSEPPE MERCALLI;VIA  MARCONI - VIA GALVANI;850;27/03/1971;G.M.;VULCANOLOGO, SISMOLOGO. AUTORE DELLA SCALA SISMICA .DIRESSE L'OSSERVATORIO DEL VESUVIO.(NATO A MILANO NEL 1850 - MORTO NEL 1914).;
092009_000598;VIA DEL MERCATO VECCHIO;LARGO CARLO FELICE - VIA BAYLLE;1149;21/02/1964;G.M.;GIA' TRAVERSA MERCATO.DENOMINAZIONE TRADIZIONALE.;
092009_000599;VIALE LUIGI MERELLO;CORSO VITTORIO EMANUELE - PIAZZA D'ARMI;;;;GIA' VIA DELL'ANNUNZIATA.INDUSTRIALE BENEFATTORE DI OPERE PIE CITTADINA.;
092009_000600;VIA DELLE MESSI;VIA DEI COVONI - (chiuso);4799;16/11/1964;G.M.;GIA' TRAVERSA II ARGIOLAS. DENOMINAZIONE TRADIZIONALE.;
092009_000601;VIA MESSINA;VIALE A. DIAZ - VIA DELLA PINETA;1217;26/08/1928;D.P.;CITTA' ITALIA CAPOLUOGO DI PROVINCIA. DELLA REGIONE SICILIA.;
092009_000602;VIA MESTRE;VIA VENEZIA - (chiuso);2785;18/07/1969;G.M.;FRAZIONE DELLA CITTA' DI VENEZIA.;
092009_000603;VIA ANTONIO MEUCCI;VIA MARCONI - VIA VENTURI;2785;18/07/1969;G.M.;SCIENZIATO FIORENTINO.RITENUTO IL PRIMO INVENTORE DEL TELEFONO.(NATO NEL 1808 - MORTO NEL 1889).;
092009_000604;PIAZZA MICHELANGELO;VIA PASCOLI - VIA CAVARO;2679;29/07/1966;G.M.;GIA' PIAZZA PASCOLI GIOVANNI.ARCHITETTO, SCULTORE, PITTORE E POETA. OPERE PIU' IMPORTANTI: LA PIETA', IL MOSE', LA CAPPELLA SISTINA, LA BASILICA DI SAN PIETRO.(NATO A CAPRESE (FI) NEL 1475 - MORTO A ROMA NEL 1564).;
092009_000605;VIA MILANO;PIAZZA BONARIA - PIAZZA CAMBOSU;1217;26/08/1928;D.P.;CITTA' D' ITALIA CAPOLUOGO DI PROVINCIA OMONIMA. REGIONE LOMBARDIA.;
092009_000606;VIA DEI MILLE;VIA ROMA - VIA CAVOUR;129;15/12/1900;G.M.;GIA' VICO SAN FRANCESCO. IN RICORDO DELL'EROICA IMPRESA COMPIUTA DA GARIBALDI CON 1089 GIOVANI VOLONTARI.;
092009_000607;VIA DOMENICO MILLELIRE;VIA ALGHERO - VIA DANTE;;;;PATRIOTA SARDO. (NATO A LA MADDALENA NEL 1761 - MORTO NEL 1827).;
092009_000608;VIA DEL MIRTO;VIA DELLA VITE - VIA CAVALLINO GUANTINO;2679;29/07/1966;G.M.;( MYRTUS COMMUNIS )PICCOLO ARBUSTO SEMPREVERDE, FAMIGLIA MIRTACEE, A FIORI BIANCHI E FOGLIE OVALI, LUCIDE E AROMATICHE. I FRUTTI SONO BACCHE BLUASTRE.;
092009_000609;VIA ISOLA MOLARA;VIA RODI - VIA ISOLA SAN DOMINO;1706;14/05/1975;G.M.;;
092009_000610;VIA MOLISE;VIA LIGURIA - VIA TRENTINO;3709;18/10/1968;G.M.;GIA' VIA VENETO. REGIONE ITALIANA.;
092009_000611;MOLO CAPITANERIA DI PORTO;CALATA DARSENA - BANCHINA ICHNUSA;;;;RIPARO DI MURAGLIA CHE SI FA AI PORTI CONTRO L'IMPETO DEL MARE. TERRITORIO E RESIDENZA DELL'AUTORITA' MARITTIMA. PRESIEDE AL SERVIZIO TECNICO ED AMMINISTRATIVO DELLA MARINA MERCANTILE, AL DEMANIO, AL SERVIZIO DI LEVA MARITTIMA E A QUELLO DI MOBILITAZIONE.;
092009_000612;MOLO DI PONENTE;DA SCALO ALAGGIO - A MARE;;;;;
092009_000613;MOLO SABAUDO;CALATA DI PONENTE - CALATA S.AGOSTINO;;;;;
092009_000614;SCALETTE MONACHE CAPPUCCINE;VIA MANNO - VIA SPANO;;;;DEDICATO ALL'OMONIMO MONASTERO.;
092009_000615;VIA MONFALCONE;VIA TRINCEA DEI RAZZI - VIA ARGONNE;327;26/02/1955;G.M.;COMUNE IN PROVINCIA DI TRIESTE.;
092009_000616;VIA MONFERRATO;PIAZZA DEI CASTELLANI - (zona in sviluppo);2303;05/07/1968;G.M.;REGIONE DEL PIEMONTE TRA IL PO E IL TANARO.;
092009_000617;VIA MONSELICE;VIA CURIE' - (chiuso);850;27/03/1971;G.M.;CITTA' ITALIANA DELLA PROVINCIA DI PADOVA.;
092009_000618;VIA MONSIGNORE VIRGILIO;VIA SISTO V - VIA DELLE AQUILE;2365;21/09/1961;G.M.;;
092009_000619;VIA DEI MONSONI;VIA S'ARRULLONI - VIA GHIBLI;1706;14/05/1975;G.M.;VENTI PERIODICI DELLE REGIONI EQUATORIALI.;
092009_000620;VIA MONTANARA;VIA DELLE SPIGHE - VIA AMEDEO II;2365;21/09/1961;G.M.;FRAZIONE DEL COMUNE DI CURTATONE PRESSO MANTOVA.;
092009_000621;VIA MONTE ACUTO;VIA CORNALIAS - VIA VAL VENOSTA;2679;29/07/1966;G.M.;MONTE DELLA SARDEGNA.;
092009_000622;VIA MONTE CLARO;VIA CADELLO - VIA DEI VALENZANI;;;;L'ORIGINE DEL TOPONIMO E' VEROSIMILMENTE COLLEGATO ALL'ESISTENZA DELLA VILLA MEDIOEVALE DI SANTA MARIA DE CLARO.;
092009_000623;VIA MONTECRISTO;VIALE POETTO - VIA LUNGO SALINE;1149;21/02/1964;G.M.;ISOLA DEL MAR TIRRENO (ARCIP. TOSCANO);
092009_000624;VIA RAIMONDO MONTECUCCOLI;VIA SANTA MARIA CHIARA - (chiuso);83;27/12/1956;C.C.;INSIGNE GENERALE MODESESE. (NATO NEL 1608 - MORTO NEL 1681).;
092009_000625;VIA ADA NEGRI;VIA GRAZIA DELEDDA - VICO I S.EUSEBIO;850;27/03/1971;G.M.;GIA' VICO GRAZIA DELEDDA.SCRITTRICE POETESSA. (NATA A LODI NEL 1870 - MORTA NEL 1945.;
092009_000626;VIA MONTE GRAPPA;VIA IS MAGLIAS - VIA S.MICHELE;;;;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000627;VIA MONTELEONE;VIA CHIESA - VIA POERIO;;;;;
092009_000628;VIA MONTELLO;VIALE S. AVENDRACE - VIA IS MAGLIAS;;;;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000629;VIA MONTE MELAGHETTO;VIA MONTELLO - VIALE S. AVENDRACE;4799;16/11/1964;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000630;VIA MONTE MIXI;VIA ROCKFELLER - (chiuso);1992;24/06/1967;G.M.;LOCALITA' TRADIZIONALE;
092009_000631;VIA MONTENERO;VIA MONTE SANTO - VIA MAGLIAS;1149;21/02/1964;G.M.;GIA' TRAVERSA MONTE SANTO. LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000632;VIA MONTENOTTE;VIA MARENGO - VIA CASTELFIDARDO;850;27/03/1971;G.M.;COMUNE ITALIANO DELLA PROVINCIA DI SAVONA. LOCALITA' DI BATTAGLIA DEL RISORGIMENTO.;
092009_000633;VIA MONTEPONI;VIA CORTOGHIANA - VIA BAUDI DI VESME;83;27/12/1956;C.C.;LOCALITA' DELLA SARDEGNA.;
092009_000634;VIA MONTE SANTO;VIA IS MIRRIONIS - VIA ARGONNE;1429;25/09/1951;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000635;VIA MONTE SABOTINO;VIALE S. AVENDRACE - VIA MAGLIAS;;;;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000636;VIA MONTEVECCHIO;VIA CORNALIAS - VIA BAUDI DI VESME;83;27/12/1956;C.C.;LOCALITA' DELLA SARDEGNA, IN PROVINCIA DI CAGLIARI.;
092009_000637;VIA CLAUDIO MONTEVERDI;VIA PALESTRINA - VIA CANEPA;83;27/12/1956;C.C.;MUSICISTA.(NATO A CREMONA NEL 1567 - MORTO A VENEZIA NEL 1643).;
092009_000638;VIA MONTE ZEBIO;VIA PASUBIO - VIA S.MICHELE;;;;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000639;VIA VINCENZO MONTI;PIAZZA GALILEI - VIA TIZIANO;219;03/12/1925;C.P.;POETA, PROSATORE. (NATO AD ALFONSINE NEL 1754 - MORTO A MILANO NEL 1828);
092009_000640;VIA MONTIFERRU;VIA SULCIS - (chiuso);2474;09/09/1981;G.M.;;
092009_000641;VIA MONTIXEDDU;VIA BAINSIZZA - (chiuso);2303;05/07/1968;G.M.;DENOMINAZIONE STORICA E TRADIZIONALE DEL LUOGO.;
092009_000642;VIA GIAMBATTISTA MORGAGNI;VIA ROCKFELLER - VIA ROLANDO;2303;05/07/1968;G.M.;MEDICO, ANATOMISTA, STORICO, ARCHEOLOGO.SCOPRI' I NODULI DELLE VALVOLE DELL'ARTERIA POLMONARE. (NATO A FORLI' NEL 1682 - MORTO A FORLI' NEL 1771);
092009_000643;VIA MICHELE MORELLI;VIA MURAT - VIA MENTANA;2365;21/09/1961;G.M.;;
092009_000644;VIA MOSCA;VIA LONDRA - (chiuso);2303;05/07/1968;G.M.;CAPITALE DELLA RUSSIA.;
092009_000645;VIA GIOACHINO MURAT;PIAZZA CHIESA - VIA SILVIO PELLICO;4799;16/11/1964;G.M.;GIA' STRADA COMUNALE CIMITERO. GENERALE FRANCESE (NATO NEL 1771 - MORTO NEL 1815);
092009_000646;PIAZZA DELLE MUSE;VIA IL GHIRLANDAIO - VIA IL PERUGINO;1706;14/05/1975;G.M.;LE NOVE FIGLIE DI ZEUS.;
092009_000647;VIA NAPOLI;VIA ROMA - VIA DETTORI;129;15/12/1900;G.M.;GIA' VIA MORES NEL SECOLO XVII. CITTA' ITALIANA CAPOLUOGO DI PROVINCIA, DELLA CAMPANIA.;
092009_000648;VIA DEL NASTRO AZZURRO;VIA MEDAGLIE D'ORO - VIA XXVIII FEBBRAIO;327;26/02/1955;G.M.;A RICORDO DEI DECORATI AL VALOR MILITARE.;
092009_000649;VIA DELLA NAUTICA;VIALE ELMAS - (chiuso);2474;09/09/1981;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000650;VIA NEBIDA;VIA LA NURRA - VIA CIOCIARIA;1149;21/02/1964;G.M.;COMUNE MINERARIO DELLA SARDEGNA.;
092009_000651;VIA NERVESA DELLA BATTAGLIA;VIALE MERELLO - (chiuso);2679;29/07/1966;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18 IN PROVINCIA DI TREVISO.;
092009_000652;VIA ISAAC NEWTON;VIALE MARCONI - (chiuso);276;27/01/1984;G.M.;SCIENZIATO E FISICO, (INGLESE).LA SUA SCOPERTA PIU' CELEBRE E' NOTA CON IL NOME GRAVITAZIONE UNIVERSALE. SCOPRI' E CREO', IL CALCOLO INFINITESIMALE.(NATO A WOOLSTHORPE NEL 1642 - MORTO A KESSINGTON NEL 1727).;
092009_000653;VIA FRA NICOLA DA GESTURI;VIALE S.IGNAZIO - VIA ANFITEATRO;850;27/03/1971;G.M.;GIA' VIA SANT'IGNAZIO.FRATE FRANCESCANO NOTO A CAGLIARI PER LA SUA UMILTA' E BONTA'.;
092009_000654;VIA AURELIO NICOLODI;VIALE S.IGNAZIO - VIALE BUONCAMMINO;3709;18/10/1968;G.M.;;
092009_000655;PIAZZA DELLE NINFE;VIA DEI CIGNI - VIA DELLE ALLODOLE;2303;05/07/1968;G.M.;DIVINITA' GRECHE E LATINE, CHE VENIVANO RAGGRUPPATE IN VARIE CLASSI;NINFE DEL CIELO: URANIDI, IADI, PLEADI, ESPERIDI.NINFE DELLE ACQUE: OCEANINE, NEREIDI, NAIADI.NINFE DEI MONTI: OREADI.NINFE DEI BOSCHI: DRIADI, AMADRIADI.;
092009_000656;VIA NIZZA;VIA DELL'ABBAZIA - (chiuso);1706;14/05/1975;G.M.;CITTA' E PORTO DELLA FRANCIA.;
092009_000657;VIA NOTO;VIA TRAMONTANA - VIA FAVONIO;4799;16/11/1964;G.M.;VENTO MERIDIONALE.;
092009_000658;VIA NUORO;VIALE BONARIA - PIAZZA ICHNUSA;129;15/12/1900;G.M.;CITTA' CAPOLUOGO DELLA PROVINCIA OMONIMA - REGIONE SARDEGNA.;
092009_000659;VIA DEI NURAGHI;VIA CADEDDU SALVATORE - VIA MELIS EFISIO;83;27/12/1956;C.C.;ANTICHE COSTRUZIONI PRIMORDIALI, A FORMA DI CONO TRONCO.SI PRESUME FOSSERO SEPOLCRI E FORTEZZE AD UN TEMPO. SPARSE IN TUTTA L'ISOLA SARDEGNA E INDICANTI L'INIZIO DELLA CIVILTA'.;
092009_000660;VIA LA NURRA;VIA IS MIRRIONIS  - VIA CORNALIAS;327;26/02/1955;G.M.;LOCALITA' DELLA SARDEGNA, IN PROVINCIA DI SASSARI.;
092009_000661;VIA DEGLI OBLATI;VIA DEI CONVERSI - (canale TERRAMAINI);1706;14/05/1975;G.M.;ORDINE RELIGIOSO DI PRETI SECOLARI, FONDATA DA SAN CARLO BORROMEO NEL 1578.;
092009_000662;VIA OGLIASTRA;VIA LA NURRA - VIA BARONIA;327;26/02/1955;G.M.;LOCALITA' DELLA SARDEGNA.;
092009_000663;PIAZZA OLANDA;PIAZZA FRANCIA - VIA STOCCOLMA;2303;05/07/1968;G.M.;STATO DELL'EUROPA DEL NORD.;
092009_000664;VIA OLBIA;VIA CARBONIA - (chiuso);83;27/12/1956;C.C.;COMUNE DELLA SARDEGNA, PROV. SASSARI.;
092009_000665;VIA DELL'OLEANDRO;VIA CAVALLINO GUANTINO - VIA CHIABRERA;2679;29/07/1966;G.M.;NERIUM OLEANDER PIANTA ARBOREA, ORIGINARIA DALLE INDIE. DELLA FAMIGLIA APOCINACEE,CON FOGLIE LANCEOLATE, VERTICILLATE, FIORI ROSA O BIANCHI PROFUMATI.COLTIVATA A SCOPO ORNAMENTALE.;
092009_000666;VIA GEROLAMO OLIVES;VIA DEI DONORATICO - (campagna);2365;21/09/1961;G.M.;COMMENTATORE DELLA CARTA DE LOGU DI ARBOREA, UOMO DI LEGGE.RICOPRI' LA CARICA DI GIUDICE DELLA REALE UDIENZA A CAGLIARI E FU MEMBRO DEL CONSIGLIO SUPREMO DELL'ARAGONA.(NATO A SASSARI NEL 1505 - MORTO NEL 1571).;
092009_000667;VIA OPIZZINO DA RIPAFRATTA;VIA SERBARIU - VIA CINQUINI;850;27/03/1971;G.M.;CASTELLANO DI SAN MICHELE NEL 1234.;
092009_000668;VIA ALFREDO ORIANI;VIA PAOLI - PIAZZA GALILEI;;;;FILOSOFO, STORICO. (NATO A FAENZA NEL 1852 - MORTO A CASOLA VALSENIO NEL 1909).;
092009_000669;VIA ORIFIAMMA;VIA DEGLI STENDARDI - (zona in sviluppo);850;27/03/1971;G.M.;BANDIERA, INSEGNA IDEALE.;
092009_000670;VIA ORISTANO;VIA GARIBALDI - VIA IGLESIAS;129;15/12/1900;G.M.;GIA' VIA PANATTARE. CITTA' CAPOLUOGO DELLA SARDEGNA.;
092009_000671;VIA VITTORIO EMANUELE ORLANDO;VIA GARIBALDI - VIA LUIGI EINAUDI;1149;21/02/1964;G.M.;GIURISTA, UOMO POLITICO, AUTORE DI NUMEROSE OPERE DI DIRITTO PUBBLICO E AMMINISTRATIVO. PRESIDENTE DEL CONSIGLIO NEL 1918. (NATO A PALERMO NEL 1860 - MORTO A ROMA NEL 1952).;
092009_000672;PIAZZA DELL'ORSA MAGGIORE;VIA VIA S'ARRULLONI - VIA DEI CIGNI;2303;05/07/1968;G.M.;UNA DELLE PIU' CARATTERISTICHE COSTELLAZIONI DEL CIELO SETTENTRIONALE, COMPOSTA DA 7 STELLE, DETTA ANCHE GRAN CARRO.;
092009_000673;VIA ORTIGARA;VIA ARDENNE - VIA PREMUDA;276;27/01/1984;G.M.;MONTE DELL'ALTOPIANO DI ASIAGO.;
092009_000674;VIA DEGLI ORTOLANI;VIA DELLE LUCCIOLE - VIA DEL BORGHETTO;850;27/03/1971;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000675;VIA OSLAVIA;VIALE LUIGI MERELLO - VIA VITTORIO VENETO;1126;20/06/1929;D.P.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18, DOVE E' STATO ERETTO UN OSSARIO DI GUERRA.;
092009_000676;VIA OSLO;VIA STOCCOLMA - VIA PRAGA;2303;05/07/1968;G.M.;CITTA' CAPOLUOGO E PORTO DELLA NORVEGIA.;
092009_000677;VIA OSPEDALE;VIA AZUNI - VIALE BUONCAMMINO;;;;GIA' VIA DEL MONTE SEC. XVI. DENOMINAZIONE TRADIZIONALE.;
092009_000678;VIA OSTRO;VIA TRAMONTANA - VIA AQUILONE;4799;16/11/1964;G.M.;UNO DEI QUATTRO PUNTI CARDINALE, SUD.;
092009_000679;VIA OZIERI;VIA BOSA - PIAZZA SAN ROCCO;129;15/12/1900;G.M.;COMUNE DELLA SARDEGNA, PROV. SASSARI.;
092009_000680;VIA ANTONIO PACINOTTI;VIA MANZONI - VIA COCCO ORTU;35;17/07/1950;C.C.;FISICO, INVENTORE. (NATO A PISA NEL 1841 - MORTO NEL 1912).;
092009_000681;VIA LUCA PACIOLI;VIALE MARCONI - (chiuso);2679;29/07/1966;G.M.;INSIGNE MATEMATICO, INDICO' I PRIMI DETTAMI DELLA CONTABILITA' COMMERCIALE. (NATO A SAN SEPOLCRO NEL 1455 - MORTO NEL 1509).;
092009_000682;VIA PADOVA;VIA ANCONA - (chiuso);2365;21/09/1961;G.M.;CITTA' D'ITALIA DELLA PROV. OMONIMA.;
092009_000683;VIA NICOLO' PAGANINI;VIA PALESTRINA - VIA CANEPA;327;26/02/1955;G.M.;VIOLINISTA STRAORDINARIO. (NATO A GENOVA NEL 1782 - MORTO A NIZZA NEL 1840).;
092009_000684;VIA ETTORE PAIS;VIA DANTE - VIA LAI;35;17/07/1950;C.C.;STORICO, STUDIOSO DI STORIA ANTICA. (NATO A BORGO SAN DALMAZZO NEL 1856 - MORTO A ROMA NEL 1939);
092009_000685;VIA PALABANDA;VIALE S. IGNAZIO - CORSO VITT. EMANUELE;1149;21/02/1964;G.M.;GIA' TRAVERSA SANT' IGNAZIO.IN RICORDO DELLA CONGIURA CHE SI SVOLSE NELLA LOCALITA'.;
092009_000686;PIAZZA PALAZZO;VIA MARTINI - VIA CANELLES;;;;DENOMINAZIONE TRADIZIONALE. - VI SI TROVAVA IL PALAZZO REALE, DEL GOVERNATORE, ARCIVESCOVILE. OGGI HA SEDE LA PREFETTURA.;
092009_000687;VIA PALERMO;VIA MESSINA - VIA CATANIA;1217;26/08/1928;D.P.;CAPITALE DELLA SICILIA, CAPOLUOGO DELLA PROV. OMONIMA.;
092009_000688;VIA LA PALMA;VIALE POETTO - VIA TRAMONTANA;;;;DENOMINAZIONE TRADIZIONALE.;
092009_000689;PIAZZETTA PADRE PIO;LARGO GENNARI - VIA SANJUST;1696;17/06/1983;G.M.;MONACO, DEDICO' TUTTA LA SUA ESISTENZA PER IL BENE DEI DEBOLI E SOFFERENTI. FU SEGNATO DALLE STIMMATE. E' VENERABILE, PRESTO SARA' BEATO.(NATO A PIETRALCINA IL;
092009_000690;VIA GIUSEPPE PALOMBA;VIA PESSINA - VICO III TUVERI;83;27/12/1956;C.C.;AVVOCATO, PARLAMENTARE. (NATO A CAGLIARI IL 25/1/1914 - MORTO NEL ? );
092009_000691;VIA ISOLA PANTELLERIA;VIALE POETTO - VIA DEL POZZETTO;2679;29/07/1966;G.M.;ISOLA DEL MEDITERRANEO.;
092009_000692;VIA PASQUALE PAOLI;PIAZZA GARIBALDI - PIAZZA SAN BENEDETTO;1138;14/06/1930;D.P.;PATRIOTA CORSO. (NATO A BASTIA 1726 - MORTO A LONDRA NEL 1807).;
092009_000693;PIAZZA PAOLO SESTO;VIALE COLOMBO - VIALE DIAZ;1840;11/08/1978;G.M.;MONTINI, DIVENUTO PAPA SCELSE IL NOME DI PAOLO VI; IL SUO PONTIFICATO E DURATO DAL(NATO A - MORTO A ROMA IL;
092009_000694;VIA PARACELSO;VIA PASCAL - VIA TELESIO;493;01/03/1991;G.M.;THEOPHRAST BOMBAST VON HOHENHEIM, IN LATINO, PHILIPPUS AUEROLUS THEOPHRASTUS BOMBASTUS, DETTO PARACELSUS.PADRE DELLA MEDICINA ERMETICA E FILOSOFO TEDESCO. MASSIMO RAPPRESENTANTE DEL NATURALISMO. OPERE PRINCIPALI: IL LIBRO PARAGRANO E IL VOLUME PARAMINO, ENTRAMBI PUBBLICATI POSTUMI.NATO A EINSIEDELN NEL 1493 - MORTO A SALISBURGO NEL 1541.;
092009_000695;VIA PARIGI;VIA AIACCIO - VIA PARACELSO;2303;05/07/1968;G.M.;CAPITALE DELLA FRANCIA, SULLA SENNA.;
092009_000696;VIA GIUSEPPE PARINI;VIA TASSO - VIA TODDE;35;17/07/1950;C.C.;SCRITTORE, POETA. (NATO A BOSISIO COMO NEL 1729 - MORTO NEL 1799).;
092009_000697;PIAZZA PARMENIDE;VIA PLATONE - PIAZZA ERACLITO;131;29/01/1980;G.M.;FILOSOFO GRECO DI ELEA. (NATO NEL 514 A.C. - MORTO NEL 440 A.C.).;
092009_000698;VIA MONSIGNORE PARRAGUEZ;VIA DEL SEMINARIO - VIA E. MARIA PIOVELLA;1149;21/02/1964;G.M.;ARCIVESCOVO DI CAGLIARI , PRESE PARTE ATTIVA AL CONCILIO DI TRENTO. (NATO NEL 1558 - MORTO NEL 1573).;
092009_000699;VIA DEI PARTIGIANI;VIA DELLA RESISTENZA - VIA FOSSE ARDEATINE;2666;13/09/1971;G.M.;DEDICATA A TUTTI I PARTIGIANI D'ITALIA.;
092009_000700;VIA PAOLO PARUTA;VIA MACHIAVELLI - VIA MACHIAVELLI;1706;14/05/1975;G.M.;STATISTA E STORICO VENEZIANO, DIPLOMATICO. (NATO NEL 1540 - MORTO NEL 1598).;
092009_000701;VIA PARTEOLLA;VICO PONTIDA - VIA SANTA MARIA CHIARA;1429;25/09/1951;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000702;VIA GIOVANNI PASCOLI;VIA PETRARCA - PIAZZA MICHELANGELO;327;26/02/1955;G.M.;POETA. (NATO A S.MAURO DI ROMAGNA NEL 1855 - MORTO A BOLOGNA NEL 1912).;
092009_000703;VIA DEI PASSERI;VIA DELLA PINETA - VIA DEI COLOMBI;2365;21/09/1961;G.M.;PASSER DOMESTICUS IL PIU' DIFFUSO UCCELLO DELLA FAMIGLIA DEI PASSERIDI DELL'ORDINE DEI PASSERIFORMI. COMUNISSIMO IN TUTTA L'EUROPA AD ECCEZIONE DELL'ITALIA DOVE E' SOSTITUITO DA UNA SPECIE QUASI IDENTICA PASSER ITALIAE.ALTRE SPECIE SIMILI SONO: IL PASSERO SARDO ( PASSER HISPANIOLENSIS), DIFFUSO IN SARDEGNA, SPAGNA, ITALIA MERIDIONALE E BALCANI, E IL PASSERO MATTUGIA(PASSER MONTANUS) DIFFUSO IN TUTTA L'EUROPA.APPARTIENE INVECE ALLA FAMIGLIA DEI TORDIDI IL PASSERO SOLITARIO (MONTICOLA SOLITARIUS) DAL PIUMAGGIO GRIGIO INTENSO, DIFFUSO IN ITALIA, SPAGNA, GRECIA E DALMAZIA.TTO DI COLORE GRIGIO, AMA NIDIFICARE NELLE BUCHE DELLE MURAGLIE.;
